model_id,arm,cycle,state_index,state,occupancy
A,HPE,16,3,GI discomfort,0.051637476790144674
A,HPE,16,4,Unresolved GI discomfort,0.007769498256106347
A,HPE,16,5,Symptomatic ulcer,0.0008336191684585209
A,HPE,16,6,Unresolved ulcer,0.00012628525279544266
A,HPE,16,7,Serious GI event,0.0003034715960837537
A,HPE,16,8,Unresolved serious GI event,4.561590360366654e-05
A,HPE,16,9,Post-event,0.8014814973295935
A,HPE,16,10,Dead,0.07388502425695954
A,HPE,17,1,Well no HPE,0.0
A,HPE,17,2,Well with HPE,0.05382339634674479
A,HPE,17,3,GI discomfort,0.05032190508310829
A,HPE,17,4,Unresolved GI discomfort,0.007546828491477109
A,HPE,17,5,Symptomatic ulcer,0.0008074671012276398
A,HPE,17,6,Unresolved ulcer,0.00012183362322546579
A,HPE,17,7,Serious GI event,0.00029599898425065446
A,HPE,17,8,Unresolved serious GI event,4.435243993401345e-05
A,HPE,17,9,Post-event,0.8087490959339951
A,HPE,17,10,Dead,0.07828912199603626
A,HPE,18,1,Well no HPE,0.0
A,HPE,18,2,Well with HPE,0.04532338523120904
A,HPE,18,3,GI discomfort,0.04918163663366362
A,HPE,18,4,Unresolved GI discomfort,0.007354557399657645
A,HPE,18,5,Symptomatic ulcer,0.0007849444165602776
A,HPE,18,6,Unresolved ulcer,0.00011801149289769761
A,HPE,18,7,Serious GI event,0.00028951449906292775
A,HPE,18,8,Unresolved serious GI event,4.32603160853411e-05
A,HPE,18,9,Post-event,0.8142337916942075
A,HPE,18,10,Dead,0.08267089831665524
A,HPE,19,1,Well no HPE,0.0
A,HPE,19,2,Well with HPE,0.03816573067189609
A,HPE,19,3,GI discomfort,0.04818914086715896
A,HPE,19,4,Unresolved GI discomfort,0.007187906917156845
A,HPE,19,5,Symptomatic ulcer,0.0007654803235001863
A,HPE,19,6,Unresolved ulcer,0.00011471979762290748
A,HPE,19,7,Serious GI event,0.00028386300259679314
A,HPE,19,8,Unresolved serious GI event,4.231260716133269e-05
A,HPE,19,9,Post-event,0.8182201622977038
A,HPE,19,10,Dead,0.08703068351520227
A,HPE,20,1,Well no HPE,0.0
A,HPE,20,2,Well with HPE,0.03213844222555336
A,HPE,20,3,GI discomfort,0.04732123421900449
A,HPE,20,4,Unresolved GI discomfort,0.00704285344448683
A,HPE,20,5,Symptomatic ulcer,0.0007485941614599988
A,HPE,20,6,Unresolved ulcer,0.00011187511617838937
A,HPE,20,7,Serious GI event,0.00027891385262080403
A,HPE,20,8,Unresolved serious GI event,4.148663972060276e-05
A,HPE,20,9,Post-event,0.8209478294530078
A,HPE,20,10,Dead,0.09136877088796679
A,HPE,21,1,Well no HPE,0.0
A,HPE,21,2,Well with HPE,0.026947262184315462
A,HPE,21,3,GI discomfort,0.04655839364051492
A,HPE,21,4,Unresolved GI discomfort,0.006916008698628051
A,HPE,21,5,Symptomatic ulcer,0.0007338811665178762
A,HPE,21,6,Unresolved ulcer,0.00010940719991450043
A,HPE,21,7,Serious GI event,0.00027455703415634315
A,HPE,21,8,Unresolved serious GI event,4.076332037254127e-05
A,HPE,21,9,Post-event,0.8194190866600632
A,HPE,21,10,Dead,0.09900064009551604
A,HPE,22,1,Well no HPE,0.0
A,HPE,22,2,Well with HPE,0.022594590432664794
A,HPE,22,3,GI discomfort,0.045704149030883934
A,HPE,22,4,Unresolved GI discomfort,0.00680451938175851
A,HPE,22,5,Symptomatic ulcer,0.0007181669205307698
A,HPE,22,6,Unresolved ulcer,0.00010725689249581258
A,HPE,22,7,Serious GI event,0.00026963804001005624
A,HPE,22,8,Unresolved serious GI event,4.012657040403657e-05
A,HPE,22,9,Post-event,0.8171940056239897
A,HPE,22,10,Dead,0.1065675471072613
A,HPE,23,1,Well no HPE,0.0
A,HPE,23,2,Well with HPE,0.01894498644530244
A,HPE,23,3,GI discomfort,0.044939914711743995
A,HPE,23,4,Unresolved GI discomfort,0.006679671345808692
A,HPE,23,5,Symptomatic ulcer,0.0007042509485425285
A,HPE,23,6,Unresolved ulcer,0.00010496025201859607
A,HPE,23,7,Serious GI event,0.0002652298427616301
A,HPE,23,8,Unresolved serious GI event,3.940765833706097e-05
A,HPE,23,9,Post-event,0.8142516746152837
A,HPE,23,10,Dead,0.11406990418020022
A,HPE,24,1,Well no HPE,0.0
A,HPE,24,2,Well with HPE,0.015884886804312975
A,HPE,24,3,GI discomfort,0.04424436796929641
A,HPE,24,4,Unresolved GI discomfort,0.006567978333439221
A,HPE,24,5,Symptomatic ulcer,0.0006917381426233638
A,HPE,24,6,Unresolved ulcer,0.00010292642967839411
A,HPE,24,7,Serious GI event,0.0002612098109387534
A,HPE,24,8,Unresolved serious GI event,3.876339934807755e-05
A,HPE,24,9,Post-event,0.8106997330101203
A,HPE,24,10,Dead,0.12150839610024125
A,HPE,25,1,Well no HPE,0.0
A,HPE,25,2,Well with HPE,0.013319071487032054
A,HPE,25,3,GI discomfort,0.04360599622044405
A,HPE,25,4,Unresolved GI discomfort,0.006466324025379394
A,HPE,25,5,Symptomatic ulcer,0.0006803954111880624
A,HPE,25,6,Unresolved ulcer,0.00010109768036512211
A,HPE,25,7,Serious GI event,0.0002575127747846849
A,HPE,25,8,Unresolved serious GI event,3.817587082067048e-05
A,HPE,25,9,Post-event,0.8066477166886143
A,HPE,25,10,Dead,0.12888370984137032
A,HPE,26,1,Well no HPE,0.0
A,HPE,26,2,Well with HPE,0.011167700938763016
A,HPE,26,3,GI discomfort,0.04301612713909921
A,HPE,26,4,Unresolved GI discomfort,0.006373025855099461
A,HPE,26,5,Symptomatic ulcer,0.000670042440093656
A,HPE,26,6,Unresolved ulcer,9.943993769277986e-05
A,HPE,26,7,Serious GI event,0.00025408989168045044
A,HPE,26,8,Unresolved serious GI event,3.763554818068296e-05
A,HPE,26,9,Post-event,0.8021854395588751
A,HPE,26,10,Dead,0.13619649869051423
A,HPE,27,1,Well no HPE,0.0
A,HPE,27,2,Well with HPE,0.009363831733997224
A,HPE,27,3,GI discomfort,0.042467386005785854
A,HPE,27,4,Unresolved GI discomfort,0.006286816360250861
A,HPE,27,5,Symptomatic ulcer,0.0006605264487258669
A,HPE,27,6,Unresolved ulcer,9.792684871005835e-05
A,HPE,27,7,Serious GI event,0.0002508995979535978
